,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
309,ግል,ጉዳይ,አደባባይ,ወጣ,አድራሻ,ውስጥ,መስመር,ላከ,ገፋ,,,,,,,,,,,,,,,,,,,
310,በርካታ,መታ,ድንቅ,አገልግሎት,በረከተ,አርቲስት,እውቅ,ሰጠ,አህመድ,ገጠመ,አለምጸሀይ,ወዳጆ,ሙዚቀኛ,ሰላም,ስዩም,ሙዚቃ,ፊልም,አሳታሚ,ዝግጅት,ምስጋና,ደረሰ,,,,,,,
311,ውነት,intrj,ሰላም,ኖረ,ሰራ,ፋኖ,ስብስብ,አላማ,ተራመደ,አገር,መራ,ሰጠ,አፈረ,,,,,,,,,,,,,,,
312,አገር,ሰላም,አለ,ምርጫ,አረጋ,አገር,ለማዳ,ምርጫ,ባሰ,ምርጫ,ክረምት,ፈለገ,ምርጫ,,,,,,,,,,,,,,,
313,ጉድ,ብይ,,,,,,,,,,,,,,,,,,,,,,,,,,
314,አማራ,ተባለ,ደሳለኝ,ጫኔ,አማራ,ነጻ,ሆነ,ጊዜ,ዘመን,post,ቆመ,መለስ,ራእይ,ቀጠለ,ዘመን,ትውልድ,ሞት,ተሻለ,አየ,,,,,,,,,
315,ውነት,cnj,ጨበጨበ,,,,,,,,,,,,,,,,,,,,,,,,,
316,ጆሮ,አእምሮ,ጮኸ,ድምጽ,ትክክል,መሰለ,እውነት,ለካ,ሆነ,ጩኸት,ውነት,እውነት,ጩኸት,ሆነ,,,,,,,,,,,,,,
317,ውሸት,ውህድ,ምን,አይነት,ጀመረ,አቶ,ናትናኤል,ፈለቀ,ፓርቲ,ህዝብ,ግንኙነት,ሀላፊ,ስልክ,ነገረ,,,,,,,,,,,,,,
318,አማራ,በቃ,,,,,,,,,,,,,,,,,,,,,,,,,,
319,አንዱ,ምች*,ቁም,ደወለ,አለ,መጥፎ,አይነት,ስጦታ,ሰጠ,አለ,ጌታ,ልደት,አንቺ,,,,,,,,,,,,,,,
320,ማር,ጠበቀ,ተባለ,አሁን,አይነት,ጥር,ንግግር,ጠበቀ,ተማረ,ከብት,አሰበ,ፈጠረ,ጠበቀ,አለ,intrj,አለ,,,,,,,,,,,,
321,ሎሚ,ወረወረ,ኖረ,ወደደ,አለ,እናንተ,ተራ,,,,,,,,,,,,,,,,,,,,,
322,አምላክ,ፈጠረ,እንሰሳ,ዱር,ጫካ,ጠለለ,በላ,እሳት,ኖረ,ነዶ,ከሰለ,አካል,ነዘረ,አካል,ነደለ,ሀዘን,ጐሰቈለ,ሳለ,ምድር,ሰማይ,አረጋ,ፈጠረ,ደርሰህ,ዳነ,,,,
323,ነፍስ,አመመ,ሰላም,አወቀ,ብቸኛ,ንስሀ,ጥፋት,ክፉ,አይነት,ማንኛውም,,,,,,,,,,,,,,,,,,
324,አማርኛ,ውጭ,መንግስት,ሀይል,ውስጥ,ጉዳይ,እጅ,ወጣ,ወቀሰ,,,,,,,,,,,,,,,,,,,
325,ቦርድ,ፓርቲ,ምዝገባ,ተመለከተ,መመሪያ,ጸደቀ,,,,,,,,,,,,,,,,,,,,,,
326,ረዘመ,ተነሳ,መኪና,ገጨ,,,,,,,,,,,,,,,,,,,,,,,,
327,አሁን,ፈተነ,አለ,አጼ,ሀይለስላሴ,ጻፈ,ሰውዬ,ጨረሰ,አለ,ነው,ረዳ,ጊዜ,አገር,አስተዳደር,ሆነ,ብዙ,መልካም,ኖረ,መልካ,ውለታ,ዜጋ,ተመሰገነ,ቀሀ,,,,,
328,ውድ,ደንበኛ,አነሳ,ጉዳይ,ረገጠ,ምላሽ,ይህ,ግጥም,መልካ,ምኞት,ተመሰገነ,,,,,,,,,,,,,,,,,
329,ጽንፈኛ,ኢትዮጵያ,አየር,በከለ,ቈጠረ,አብዛኛ,ህዝብ,ጽዮን,ጨመረ,አሰበ,ቅኝት,post,ወደቀ,አሳዛኝ,,,,,,,,,,,,,,
330,ክልል,ሰላማዊ,ሰልፍ,አበረ,አይን,ቀለም,አማረ,ሙስሊም,አሰረ,ቻለ,መስጊድ,ሱቅ,ተቃጠለ,ክርስትና,መዝሙር,ዘመረ,ፈረሰ,ጠራ,,,,,,,,,,
331,ተወዳደረ,ቀጠረ,ፈለገ,አመመ,አመመ,መረቀ,አል,ነገ,ሮብ,ሰአት,,,,,,,,,,,,,,,,,,
332,ዘመን,ቀደመ,ነበረ,እርስ,ህጻን,ሆነ,ዳነ,አለም,ተደረገ,አለ,ደረሰ,,,,,,,,,,,,,,,,,
333,ይቅርታ,ተስተካከለ,ጉዳይ,ምክንያት,ሲስተም,ሰራ,ቅርብ,ሰራ,ነገረ,ድረስ,አካል,ቅርብ,ተገኘ,ባንክ,ቅርንጫፍ,አካል,ሄደ,ገባ,ተቻለ,,,,,,,,,
334,ህዝቅኤል,ገረረ,ጥናታዊ,ጫት,ነው,ፈለገ,ጋበዘ,ቀረበ,እንዳለ,ጫት,ቆመ,ሰማ,ፈለገ,ነገረ,,,,,,,,,,,,,,
335,ግራ,ገባ,ቴሌቪዥን,ጣቢያ,ከፈተ,አየ,ሰው,ጉዳይ,,,,,,,,,,,,,,,,,,,,
336,ሲሳይ,አለ,ደገመ,አወቀ,,,,,,,,,,,,,,,,,,,,,,,,
337,ሀሳብ,ግብር,አለ,,,,,,,,,,,,,,,,,,,,,,,,,
338,ፕሬዚዳንት,ወረረ,ዘውዴ,ውጭ,ጉዳይ,ክቡር,አቶ,ገድ,አንዳርጋቸው,ደገመ,ፕሬዚዳንት,ስልጣን,ድርግ,ምኞት,,,,,,,,,,,,,,
339,ያለው,መንግስት,ነው,አለ,ጸር,ነው,ጠቀለለ,አርአያ,አጼ,አጼ,ሀይለስላሴ,ደገመ,መንግስቱ,ገቢሳ,,,,,,,,,,,,,,
340,እንደርታ,አዳማ,ከተማ,ቀጥታ,ውጤት,ገለጠ,,,,,,,,,,,,,,,,,,,,,,
341,ፈራ,አደገ,አንበሳ,ዝሆን,አለበ,,,,,,,,,,,,,,,,,,,,,,,
342,ጠቀለለ,ሚኒስትር,ታክስ,ህብረተሰብ,ጤና,ጠበቀ,ሲጋራ,አለም,ጤና,ድርጅት,ብር,ፓኮ,አነሰ,ግብ,ባለ,,,,,,,,,,,,,
343,መስመር,አመነ,በግ,ወጥ,አለ,ታማኝነት,ረገጠ,አለ,,,,,,,,,,,,,,,,,,,,
344,አቡበከር,አህመድ,እኛ,ታሪክ,ፕሮግራም,ወሰነ,መልእክት,,,,,,,,,,,,,,,,,,,,,
345,ሰለጠነ,ተግባር,ሰጠ,ስልጡን,ምላሽ,ሞጣ,ወደመ,ኮምቦልቻ,ተደረገ,ታላቅ,ህዝባዊ,ተቃውሞ,,,,,,,,,,,,,,,,
346,በር,ዘጋ,ተነጋገረ,,,,,,,,,,,,,,,,,,,,,,,,,
347,ማርያም,መልአክ,ወንድ,አወቀ,መለሰ,አለ,ነፈሰ,ቅድ,አንቺ,መጠጠ,ልኡል,ሀይል,ወለደ,ቅዱስ,ህጻን,እግዚአብሄር,ልጅ,,,,,,,,,,,
348,አመመ,ገና,አል,አሻ,ተዘጋጀ,ልዩ,በአል,ዝግጅት,ገና,እለት,ጠበቀ,,,,,,,,,,,,,,,,,
349,ምድብ,አዲ,አበባ,ከተማ,ጨዋታ,ነጥብ,ተገኘ,መድን,ምድብ,ጨዋታ,ነጥብ,ተገኘ,adv,ሰለጠነ,መኮንን,አዲ,አበባ,ከተማ,ብሄራዊ,ሊግ,ፈራ,,,,,,,
350,ቶሎሳ,እለት,በዛ,ልብ,ሰረቀ,ፈገግታ,ታጀበ,ተመኘ,,,,,,,,,,,,,,,,,,,,
351,ቈላ,cnj,አረገ,,,,,,,,,,,,,,,,,,,,,,,,,
352,ትክክል,በራ,መብት,ተከበረ,ውነተኛ,ለመለመ,ነገር,አንተ,አቋም,ግልጽ,ድርግ,,,,,,,,,,,,,,,,,
353,ፍቅር,ሆነ,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ጾታ,ጠራ,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ዜና,ሆነ,ክስተት,ገጠመ,ዜና,ሰራ,ወሰነ,ገለልተኛ,ሚዲያ,ተቋም,ደህና,,,,,,,,,,,,,,,,,
356,አስፈሪ,ዘመን,ተሻገረ,ናረ,ሰማ,ተስማማ,ፍርሀት,ነጻ,ነው,ቀጠለ,,,,,,,,,,,,,,,,,,
357,intrj,ወሰነ,ሰው,ጐዳ,ገባ,ቀን,ፈለገ,ሾለ,ቀዘቀዘ,,,,,,,,,,,,,,,,,,,
358,ይቺ,ደን,ሰራ,አረጋ,አመመ,ከፈለ,አየ,ደንብ,,,,,,,,,,,,,,,,,,,,
359,አለ,አንተ,ፍጥረት,እግዚአብሄር,ታላቅ,አምላክ,ክብር,አየ,,,,,,,,,,,,,,,,,,,,
360,ኢትዮጵያ,ቸገረ,መንግስት,,,,,,,,,,,,,,,,,,,,,,,,,
361,part,አለ,ክልል,ሙስሊም,ተስፋ,ነፈገ,cnj,መስጊድ,ተቃጠለ,,,,,,,,,,,,,,,,,,,
362,ተወዳደረ,ተወዳደረ,ምድብ,,,,,,,,,,,,,,,,,,,,,,,,,
363,ሺ,በቀለ,ቀለም,ቀንድ,አገር,አባይ,ግድብ,ድርድር,ቀላ,መስመር,ስምር,ምርጥ,ዲፕሎማት,አገር,ወዳድ,,,,,,,,,,,,,
364,ሀገር,ፊት,ሀገር,ሰላም,ረጋ,እትም,ሄደ,cnj,ምርጫ,ሄደ,ማጥ,ልቅ,ነው,አሰበ,,,,,,,,,,,,,,
365,ውነት,ያዘ,,,,,,,,,,,,,,,,,,,,,,,,,,
366,ውነት,ውነት,አመመ,በቃ,,,,,,,,,,,,,,,,,,,,,,,,
367,ምእራብ,ኦሮሚያ,አየር,ምድር,መጠነ,ሰፊ,ውጊያ,ጀመረ,ከበበ,ህዝብ,ወገን,ጨፈጨፈ,አየ,,,,,,,,,,,,,,,
368,አል,መጣ,ልክ,መስቀል,ወፍ,,,,,,,,,,,,,,,,,,,,,,,
369,ተሰቃየ,አቦ,cnj,ያ,እኔ,ተዛመደ,,,,,,,,,,,,,,,,,,,,,,
370,ሸተተ,intrj,ባልቦላ,,,,,,,,,,,,,,,,,,,,,,,,,
371,ቤት,እመቤት,ቅጥል,,,,,,,,,,,,,,,,,,,,,,,,,
372,ጋሞ,ዞን,ክልል,ሆነ,ጥያቄ,ደቡብ,ክልል,ምክር,ቤት,ቀረበ,ጊዜ,ገደብ,አመት,ተገኘ,ጋሞ,ዞን,ምክር,ቤት,ፌዴሬሽን,ምክር,ቤት,ቅሬታ,ቀረበ,,,,,
373,መሀከል,ህጋዊ,ንግድ,ልውውጥ,ተደረገ,ላከ,ድርግ,ሾመ,እኔ,ቧልት,,,,,,,,,,,,,,,,,,
374,አሻራ,ሰው,ሰውነት,ትርጉም,ህይወት,የት,ሀብቱ,ማእረግ,ፍትህ,ሰደደ,በደል,ተጸየፈ,ግፍ,በቃ,የት,አሻራ,ትውልድ,ተወሳ,,,,,,,,,,
375,አይነት,ፍቅር,መላ,መላ,ዱለት,,,,,,,,,,,,,,,,,,,,,,,
376,ወያኔ,ለም,ሰላም,መቀሌ,ወሸቀ,መንጌ,ጃንሆይ,ባለስልጣን,intrj,ረሸነ,አየ,ረሸነ,ልክ,ላፈ,,,,,,,,,,,,,,
377,ጎል,ግብእ,ተኰፈሰ,,,,,,,,,,,,,,,,,,,,,,,,,
378,ያዘ,ሰው,cnj,ኤሌክትሪክ,ያዘ,,,,,,,,,,,,,,,,,,,,,,,
379,እንዳለ,ጎረቤት,ጩኸት,ሰሙ,ጊዜ,ጫካ,ደረስ,ቆመ,አንገት,ዘረጋ,ነበረ,ቦታ,ተመለከተ,ያ,ዛፍ,ዙሪያ,ክበብ,ፈጠረ,ልጅ,እነሱ,አየ,ጥያቄ,,,,,,
380,አለ,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,አል,በላ,ደቡብ,ኦሞ,ዞን,ጂንካ,ዙሪያ,ማህበረሰብ,ባህል,እስራት,ቀንበር,ለቀቀ,ወጣት,ሄደ,አለለ,ምን,ረዳ,ቻለ,ውስጥ,እምቅ,ሀሳብ,ሀገር,በቃ,ደገፈ,በረታ,ትልቅ,ህዝብ,ዳነ
382,ከፍተኛ,ሊግ,ሳምንት,ምድብ,ቀጥታ,ውጤት,ገለጠ,,,,,,,,,,,,,,,,,,,,,
383,ጠቀለለ,ሚኒስትር,አቢይ,አህመድ,ቦረና,ዞን,ያቤሎ,ከተማ,ገባ,ጠቀለለ,ሚኒስትር,ያቤሎ,ደረሰ,አካባቢ,ሀገር,ሽማግሌ,ነዋሪ,ደማቅ,ተቀበለ,ድርግ,ቆይታ,ህብረተሰብ,ውይይት,ድርግ,,,,
384,አሁን,ብልጽግና,ፓርቲ,post,ክልል,ፕሬዚዳንት,መንግስት,መረጠ,ክልል,ላከ,አለ,cnj,ቀጠለ,ገባ,ድል,ሰፊ,,,,,,,,,,,,
385,ልጅ,ሳለህ,ሰንበት,ቤት,ተቋረጠ,ሄሮድስ,ተረከ,ዛር,ቀጠለ,ራስ,ኢየሱስ,ቦታ,ድርግ,,,,,,,,,,,,,,,
386,ድሮ,ሸመደደ,ቀላል,ተንበለበለ,ልብ,ወለድ,ድርሰት,ውሀ,በላቸው,አንጋፋ,ጭምር,ረሳ,ደገመ,ዘበናይ,አዳዲ,ድርሰት,ጥንእ,,,,,,,,,,,
387,ሆነ,ምክንያት,ተከራከረ,ክፉ,ሰራ,ጨቈነ,አል,ከረከረ,cnj,ጨቈነ,ብይ,በጎ,ሰራ,ብይ,ነው,ተገኛኘ,,,,,,,,,,,,
388,ቈጠረ,አሜሪካ,ትናንት,adv,ገደለ,ቃሲም,ቴህራን,ከተማ,ድርግ,ተቃውሞ,ሰማ,ተገኘ,,,,,,,,,,,,,,,,
389,መረመረ,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,ፈላ,ሰጠ,,,,,,,,,,,,,,,,,,,,,,,,,,
391,ጥር,ጥንክር,መልክ,ህገወጥ,ከለከለ,ሁሉ,ህብረተሰብ,ሀላፊነት,,,,,,,,,,,,,,,,,,,,
392,ርጅ*,ሀሳብ,ድርቀት,አረጠ,አማራጭ,ሰላማዊ,ድርግ,መንግስታዊ,ስልጣን,ዛር,ተዋከበ,ፈለገ,አበረ,ምርጫ,ሰላማዊ,ነገደ,ተካ,,,,,,,,,,,
393,ምርምር,ግንቦት,አመመ,ማክተሚያ,ጠቀለለ,ሚኒስቴር,አቢይ,አህመድ,,,,,,,,,,,,,,,,,,,,
394,ብልጽግና,ፓርቲ,ተጣመረ,ሰማይ,ወፍ,ነገረ,,,,,,,,,,,,,,,,,,,,,,
395,እናት,ጽናት,ሰጠ,ሀዋሳ,ዩኒቨርሲቲ,ስለት,ወጋ,ገደለ,ተማሪ,ሱራፌል,ሰለሞን,አስከሬን,ዛር,ወልዲያ,ገባ,ቅዱስ,አምላክ,ነፍስ,አጸደ,ገነት,አረፈ,እናት,እንባ,አየ,እቃ,አለ,,
396,በአል,አምባሳደር,ሀገር,መሰረተ,ፌዴራል,ስርአት,አር,ብሄር,ቋንቋ,ሀይማኖት,ጸጋ,ወሰደ,ጠንካራ,አገራዊ,አንድነት,ገነባ,አላማ,ገለጸ,,,,,,,,,,
397,ዞን,ዘመን,ለወጠ,ሴራ,አል,ደማቅ,ከበረ,ዞን,ወረዳ,ዘመን,ለወጠ,ሴራ,አል,ዛሬ,እለት,ማለዳ,ደማቅ,ተከበረ,,,,,,,,,,
398,ከፍተኛ,ትምህርት,ተቋም,ተማረ,እርምጃ,ወሰደ,,,,,,,,,,,,,,,,,,,,,,
399,ሽብር,ተግባር,ክልል,ሄደ,ጥፋት,ፈጸመ,ይፋ,አወገዘ,ተግባር,ጠቀሰ,ሽብርተኛ,ከለላ,ተበዳይ,,,,,,,,,,,,,,,
400,አቶ,ንጉሱ,ጥላሁን,ተማረ,አለ,ውነት,አረገ,አወቀ,አላባ,ጉዳይ,እንዳለ,ሰማ,ዛር,part,አል,ምን,አይነት,ስምምነት,ለቀቀ,ተቻለ,,,,,,,,
401,ኡመር,ወቅታዊ,ጉዳይ,ዙሪያ,ተበላሸ,ጭንቅላት,ባለቤት,ትራምፕ,መካከለኛ,ምስራቅ,ሰላም,ለየ,ውጥረት,ገባ,ድርግ,,,,,,,,,,,,,
402,አንባቢ,እህት,,,,,,,,,,,,,,,,,,,,,,,,,,
403,አሜሪካ,ኢትዮጵያ,ብሄራዊ,ጥቅም,ተገነዘበ,ፍላጎት,ኖረ,አወቀ,ገንዘብ,ይህ,ተንበረከከ,አዘነ,,,,,,,,,,,,,,,,
404,እኛ,ሀገር,ጉዳይ,ይህ,አቅጣጫ,ሄደ,ጦርነት,ህዝብ,በተነ,የትኛው,ባህል,ማንነት,ጥያቄ,ለቀቀ,,,,,,,,,,,,,,
405,አንተ,ልብ,ሰበረ,አዘነ,,,,,,,,,,,,,,,,,,,,,,,,
406,ስሜት,ከልብ,መላ,ቤተሰብ,ልብ,ሀዘን,ሰበረ,አይነት,አስነዋሪ,ማህበራዊ,ክስተት,በቃ,ፖለቲከኛ,እስዎ,ጭምር,ውስጥ,ፈተሸ,ራስ,ውነተኛ,ሆነ,ጠየቀ,,,,,,,
407,ፈታ,አለ,ቃል,ተቀበለ,ፈቀደ,ፈቀደ,,,,,,,,,,,,,,,,,,,,,,
408,ሰው,ቀና,እነሱ,ምሳሌ,,,,,,,,,,,,,,,,,,,,,,,,
409,ስድስተኛ,ሳምንት,ሙሉ,ውጤት,,,,,,,,,,,,,,,,,,,,,,,,
410,ሚስተር,መከረ,መረጠ,ቻለ,ጠቀለለ,ሚስተር,መረጠ,cnj,ዘይት,ሁሴን,አሜሪካ,ኢትዮጵያ,ዝግጅት,,,,,,,,,,,,,,,
411,ስርአት,ፈለገ,ብልጽግና,ራቀ,አለበ,ጨመረ,ግልጽ,መርህ,አል,ውነተኛ,ምሳሌ,አይነት,ፖለቲካ,ግንባር,ትብብር,ፈጠረ,,,,,,,,,,,,
412,በላ,ወንድ,አካል,,,,,,,,,,,,,,,,,,,,,,,,,
413,ሰው,ጠበቀ,ፈለገ,ነዝናዛ,ተደረገ,ቈጠረ,እግዚአብሄር,cnj,እርስ,ቸገረ,ነዘነዘ,ቅድ,አፈወርቅ,,,,,,,,,,,,,,,
414,ደርግ,ወታደር,አባት,አስተማረ,ተአምር,,,,,,,,,,,,,,,,,,,,,,,
415,ቁሳቁስ,ተጨነቀ,ትዳር,ዝግጁ,ሆነ,ገባ,ግብእ,ግራ,ግብእ,ተጨነቀ,ዛር,ወንድ,እድር,ሴት,ዳረ,,,,,,,,,,,,,
416,ፕሬዚዳንት,ትራምፕ,ኢትዮጵያ,አዳኑ,መሰገ,ነካ,እጅ,አወቀ,ታጠቀ,በላይ,አካል,በላ,ማንነት,አወቀ,መልካም,,,,,,,,,,,,,
417,አዲ,አበባ,ከተማ,አስተዳደር,አዲ,አበባ,ምክር,ቤት,አባል,ምን,ገባ,ምክር,ቤት,,,,,,,,,,,,,,,
418,በአል,ተመለከተ,,,,,,,,,,,,,,,,,,,,,,,,,,
419,አየ,ምህዳር,እርስ,እርስ,በላ,ሀገር,በቀል,ድንበር,ተሻገረ,በዝባዥ,በለጠ,ገለጠ,ሆነ,አየ,እርስ,ጋራ,ተቻለ,,,,,,,,,,,
420,ዝማም,ማረ,,,,,,,,,,,,,,,,,,,,,,,,,,
421,አማራ,ህዝብ,ስቃይ,ደምቢ,ዶሎ,ዩኒቨርሲቲ,አሁን,ለቀቀ,አማራ,ተማረ,ዝርዝር,,,,,,,,,,,,,,,,,
422,ሲዳማ,ቡና,ባህር,ዳር,ከተማ,ቀጥታ,ውጤት,ገለጠ,,,,,,,,,,,,,,,,,,,,
423,ስፔን,ኢራቅ,አለ,ጦር,ሰራዊት,ውጥእ,,,,,,,,,,,,,,,,,,,,,,
424,ያ,አቶ,ተመስገን,ክርስትና,እምነት,ተከተለ,ገና,ደረሰ,አለ,መልካም,ምኞት,ገለጸ,ሙስሊም,ወሰደ,እርምጃ,ተዘጋጀ,አይነት,ዛቻ,ሰነዘረ,እገዛ,ክልል,ጨመረ,ቀውስ,ዳረገ,,,,
425,ህብረተሰብ,ስነ,አወቀ,ስነ,ቃል,ጥናት,ደረጃ,አለበ,አወቀ,ህብረተሰብ,ትንተና,,,,,,,,,,,,,,,,,
426,አፋር,ልጅ,ልጅ,ወሎ,ሙስሊም,ጠፋ,ተነሳ,ተሸበረ,ታገለ,ወሎ,ሙስሊም,ከፍተኛ,መስዋእትነት,ከፈለ,ወሎ,ነው,ማን,አለ,,,,,,,,,,
427,መክብብ,ራቁት,ቪዲዮ,አየ,አበራ,ሞላ,,,,,,,,,,,,,,,,,,,,,,
428,እናት,ሰው,እንስሳ,አውሬ,አለ,ሰራዊት,እናት,ኖረ,መድሀኒት,prep,እናት,ተወዳጀ,ስራ,ሻለቃ,ወጋየሁ,ደግነት,ስራ,,,,,,,,,,,
429,እጣ,በለስ,ስኳር,ፋብሪካ,ሸንኮራ,አገዳ,ልማት,ጃዊ,ወረዳ,num,አባወራ,ተነሳ,ተደረገ,መታ,ቈጠረ,አቀደ,ፋብሪካ,ግንባታ,ተገኘ,,,,,,,,,
430,ነገረ,ቀና,ቃል,ጦርነት,,,,,,,,,,,,,,,,,,,,,,,,
431,አባት,ሰረቀ,ንብረት,ያዘ,ጥንቅቅ,አደጋ,,,,,,,,,,,,,,,,,,,,,,
432,ዘጌ,ባህላዊ,ቀሚስ,ጥለት,ሰራ,ጌጣጌጥ,ግይጥ,ሆነ,ውድ,ዋጋ,ውጥእ,ልብስ,,,,,,,,,,,,,,,,
433,ክብደት,ሰማ,አማራ,ህመም,አየ,ጋዜጠኛ,ስድብ,ዘለፋ,ተቀባይነት,አለ,ፍትህ,ግንዛቤ,ሌላ,አለቃ,በላይነህ,,,,,,,,,,,,,
434,ድሮ,ዘመን,አለ,እኔ,ዘመን,አለ,,,,,,,,,,,,,,,,,,,,,,
435,ሞተ,ፊት,ሰፈር,መልካም,ወጣት,ድርግ,ጥረት,,,,,,,,,,,,,,,,,,,,,
436,adv,ቀልድ,ቀረበ,ሳቀ,አወቀ,,,,,,,,,,,,,,,,,,,,,,,
437,ከተማ,መሰለ,ዋጠ,አወቀ,ሞኝ,ሀና,ተክል,ሰማይ,ውነት,ውነት,,,,,,,,,,,,,,,,,,
438,ጥር,አለፈ,,,,,,,,,,,,,,,,,,,,,,,,,,
439,አቅም,አለ,አቋም,ሀሳብ,አጣ,ልብ,ስሜት,ጐደለ,ህይወት,ንብ,ጣለ,ሄደ,ባዶ,ቀፎ,አለ,,,,,,,,,,,,,
440,ነጻ,ነበረ,ፓርቲ,አለለ,ተናገረ,ሰማ,ተደሰተ,ለም,,,,,,,,,,,,,,,,,,,,
441,በጀት,ምደባ,አለ,መጣ,,,,,,,,,,,,,,,,,,,,,,,,
442,ጥገና,ተከናወነ,አስቻለ,ዝግጅት,ስራ,አብዛኛ,ተጠነቀቀ,ሀውልት,ጥገና,ጥር,ጨረሰ,ጀመረ,ዝግጅት,ተደረገ,ጥር,አጋማሽ,ጥገና,ፈለገ,እቃ,ውጭ,,,,,,,,
443,ቃል,ዜማ,አስቂኝ,አሽሙር,ወግ,እጸገነት,,,,,,,,,,,,,,,,,,,,,,
444,እምነት,አሰበ,መርዝ,ሴራ,ፈጠረ,adv,ምክር,ለገሰ,ክፋት,ተንኮል,ሰገደ,ጥር,ጀመረ,ክፋት,,,,,,,,,,,,,,
445,ልጅ,አማርኛ,ውርእ,ተወ,,,,,,,,,,,,,,,,,,,,,,,,
446,እናት,ሀገር,ደረደረ,,,,,,,,,,,,,,,,,,,,,,,,,
447,ለቀቀ,ተማረ,ለቀቀ,አለ,ስቃይ,ቤተሰብ,ጨበጠ,ተስፋ,ሰጠ,ባሰ,አዘነ,ውሸት,ጭካኔ,ሞላ,ሰፈረ,ድርጊት,,,,,,,,,,,,
448,ኢትዮጵያዊ,ሱዳን,ሀገር,መለሰ,,,,,,,,,,,,,,,,,,,,,,,,
449,ዘገባ,ህጻን,ቢላዋ,ቈረጠ,ገደለ,,,,,,,,,,,,,,,,,,,,,,,
450,ፍቅር,ሆነ,ታሪክ,የት,አለ,እኔ,ሚዛን,ማእዘን,ሌላ,አሉ,,,,,,,,,,,,,,,,,,
451,ሰጠ,ቀን,ህጻን,ገና,,,,,,,,,,,,,,,,,,,,,,,,
452,ነገደ,ያዘ,,,,,,,,,,,,,,,,,,,,,,,,,,
453,ህጻን,ልጅ,ተሽኰረመመ,ሳቀ,,,,,,,,,,,,,,,,,,,,,,,,
454,ሸበላ,ውድድር,ምርጫ,ወረዳ,ህዝብ,ወከለ,መረጠ,ምርጫ,ወረዳ,ህዝብ,እለት,ችግር,ገጠመ,ምርጫ,ወረዳ,መዋቅር,ምርጫ,ወረዳ,ውክልና,ወሰነ,ምርጫ,ወረዳ,,,,,,
455,እኛ,ጠየቀ,ፖለቲካ,ቻለ,ሀገር,አለ,cnj,እኛ,ፖለቲካ,ተራመደ,አለ,ተከተለ,ጀመረ,ተጫወተ,ሰራ,ተጫወተ,እኛ,,,,,,,,,,,
456,በላ,ደመቀ,ገድ,ለማ,እስክንድር,ብርሀን,አማራ,ጥቅም,ህዝብ,ህዝብ,ተለቀ,ቅጥረኛ,,,,,,,,,,,,,,,,
457,ደህና,ነጋ,ደገመ,መልካም,,,,,,,,,,,,,,,,,,,,,,,,
458,ብዙ,ደደብ,ፖለቲከኛ,ተቻለ,ደቡብ,cnj,ለየ,በር,ግምባር,አከለ,መሬት,ያዘ,ላላ,ልጅ,አሰበ,ደግ,,,,,,,,,,,,
459,ወደደ,እኛ,ተከታተለ,ተበጠረ,,,,,,,,,,,,,,,,,,,,,,,,
460,አምላክ,ዋለ,ጥበብ,,,,,,,,,,,,,,,,,,,,,,,,,
461,እናንተ,ከፈተ,,,,,,,,,,,,,,,,,,,,,,,,,,
462,ፍቅር,ጀመረ,እምነት,ሀይማኖት,ጀመረ,ተዋህዶ,ልጅ,ላገ,ቅድ,ቀን,ክብር,ቀን,በቃ,በቃ,,,,,,,,,,,,,,
463,intrj,adv,ጡት,ጠባ,አደገ,intrj,part,በላ,intrj,ስርጉት,አሁን,ድረስ,ጠባ,ጠበቀ,,,,,,,,,,,,,,
464,adv,ነው,ሶስት,ቆመ,ጐበኘ,,,,,,,,,,,,,,,,,,,,,,,
465,አለ,ቻለ,intrj,ጎበዝ,ያ,ኢትዮጵያ,ጉዳይ,ጉድ,እለታዊ,ሆነ,አቅጣጫ,በተነ,በርካታ,ነገር,አል,ሀቅ,intrj,ይቺ,,,,,,,,,,
466,ድምጽ,ሰማ,አመነ,ከበደ,ጅልነት,,,,,,,,,,,,,,,,,,,,,,,
467,ፊት,መንግስት,ራስ,ሌባ,ነበረ,intrj,ሰፈር,ሌባ,ሌባ,እትም,ሀገር,,,,,,,,,,,,,,,,,
468,ሞጣ,ውነተኛ,ፍትህ,የትኛው,አጀንዳ,ውድቅ,አጀንዳ,ጠለፋ,ተሳካ,,,,,,,,,,,,,,,,,,,
469,አስቸኳይ,ለቀቀ,አለባቸው,አሳር,አየ,አደገ,ልጅ,ትምህርት,ላከ,ጫካ,ገታ,ሰማ,ወለደ,ከፍተኛ,ህመም,,,,,,,,,,,,,
470,ቃጠሎ,ተመለከተ,ዝግጅት,ጀግና,እህት,ዘይት,ሁሴን,ሀሊማ,በሽር,አንጀት,ቅቤ,ጠጣ,ዘይት,ዶክተር,በላ,ቃጠሎ,ተመለከተ,መስመር,ድርግ,ጽዳት,ዘመቻ,,,,,,,
